 category_name , category_name_ar ,customs,tax_aqaba,tax_amm,margin_amm,margin_aqaba,special_tax,us_tax, cap_aqaba , cap_amm , min_side_length 
 Accessories (General) ,  ???????? ???? ,35.00%,0.00%,16.00%,8.00%,9.00%,0.00%,8.50%, 999.00 , 999.00 , 1.00 
 Adapters , ????? ,35.00%,0.00%,16.00%,8.00%,9.00%,0.00%,8.50%, 999.00 , 999.00 , 1.00 
 All Audio/Video , ???? ????? ,35.00%,7.00%,16.00%,8.00%,9.00%,0.00%,8.50%, 999.00 , 999.00 , 1.00 
 Auto Parts , ??? ?????? ,35.00%,7.00%,16.00%,8.00%,9.00%,0.00%,0.00%, 999.00 , 999.00 , 1.00 
 Battery , ??????? ,35.00%,0.00%,16.00%,12.00%,15.00%,0.00%,0.00%, 999.00 , 999.00 , 1.00 
 Belts and Wallets , ????? ? ????? ,25.00%,0.00%,16.00%,9.00%,10.00%,0.00%,0.00%, 999.00 , 999.00 , 1.00 
" Bicycles (including delivery tricycles), not motorized. ","?????? ????? ??? ?????? ??????? ???? ? ???? ??????? ",25.00%,0.00%,16.00%,9.00%,10.00%,0.00%,0.00%, 999.00 , 999.00 , 8.00 
 Binoculars/Telescopes , ????? ,35.00%,0.00%,16.00%,8.00%,9.00%,0.00%,0.00%, 999.00 , 999.00 , 1.00 
 Books , ???? ,0.00%,0.00%,0.00%,10.00%,10.00%,0.00%,0.00%, 999.00 , 999.00 , 1.00 
 Bracelett ,"  ????? ???? ",35.00%,0.00%,16.00%,8.00%,9.00%,0.00%,0.00%, 999.00 , 999.00 , 1.00 
 Brooms and brushes ,????? ???????,35.00%,0.00%,16.00%,8.00%,9.00%,0.00%,0.00%, 999.00 , 999.00 , 1.00 
 Cables/Adapters , ?????  ,35.00%,0.00%,16.00%,8.00%,9.00%,0.00%,0.00%, 999.00 , 999.00 , 1.00 
 Camera Digital , ?????? ????? ,0.00%,7.00%,16.00%,10.00%,10.00%,0.00%,0.00%, 999.00 , 999.00 , 1.00 
 Camera for documents , ?????? ??????? ,15.00%,0.00%,16.00%,9.00%,10.00%,0.00%,0.00%, 999.00 , 999.00 , 1.00 
 Camera Lens , ???? ?????? ,35.00%,0.00%,16.00%,8.00%,9.00%,0.00%,0.00%, 999.00 , 999.00 , 1.00 
 Capacitor (Fixed) , ???????? ??????? ,0.00%,0.00%,16.00%,10.00%,10.00%,0.00%,0.00%, 999.00 , 999.00 , 1.00 
 Carpets , ???? ,25.00%,0.00%,16.00%,9.00%,10.00%,0.00%,0.00%, 999.00 , 999.00 , 1.00 
 Carrying Case , ????? ,35.00%,0.00%,16.00%,8.00%,9.00%,0.00%,0.00%, 999.00 , 999.00 , 4.00 
 Charger , ???? ,0.00%,0.00%,16.00%,10.00%,10.00%,0.00%,0.00%, 999.00 , 999.00 , 1.00 
 Cleaning Agents/Detergents , ?????? ,11.50%,0.00%,16.00%,9.00%,10.00%,0.00%,0.00%, 999.00 , 999.00 , 1.00 
 Clothing , ????? ,25.00%,0.00%,16.00%,8.00%,9.00%,0.00%,0.00%, 999.00 ," 1,18 ", 1.00 
" Clothing accessories  Leather gloves, mittens and mitts) ", ? ????? ????? ?  ???????? ??????? ,35.00%,0.00%,16.00%,8.00%,9.00%,0.00%,0.00%, 999.00 , 1.35 , 1.00 
 Clothing Dresses or Suits , ????? ??????? ???????? ,25.00%,7.00%,16.00%,8.00%,9.00%,0.00%,0.00%, 999.00 , 1.35 , 1.00 
 Computer Card ,? ????? ?????? ?????? ???????? ??????? ?? ????????,0.00%,0.00%,16.00%,10.00%,10.00%,0.00%,0.00%, 999.00 , 999.00 , 1.00 
 Computer Case No power Supply  , ????? ??????? ???? ???? ???????? ,35.00%,0.00%,16.00%,8.00%,9.00%,0.00%,0.00%, 999.00 , 999.00 , 10.00 
 Computer Case With power Supply  , ????? ??????? ?? ???? ???????? ,0.00%,0.00%,16.00%,10.00%,10.00%,0.00%,0.00%, 999.00 , 999.00 , 10.00 
 Computer Fan  , ????? ???????  ,0.00%,0.00%,16.00%,10.00%,10.00%,0.00%,0.00%, 999.00 , 999.00 , 1.00 
 Computer Parts , ??? ??????? ,0.00%,0.00%,16.00%,10.00%,10.00%,0.00%,0.00%, 999.00 , 999.00 , 1.00 
 Computer Replacement Parts , ???  ???? ??????? ,35.00%,0.00%,16.00%,8.00%,9.00%,0.00%,0.00%, 999.00 , 999.00 , 1.00 
 converters (Static) , ?????? ?????? ????? ,25.00%,0.00%,16.00%,9.00%,10.00%,0.00%,0.00%, 999.00 , 999.00 , 1.00 
 cosmetics or toilet preparations , ???? ??????? ?? ?????? ??????? ,11.50%,7.00%,16.00%,16.00%,16.00%,5.00%,0.00%, 999.00 , 999.00 , 1.00 
 Cover , ??? ,35.00%,0.00%,16.00%,8.00%,9.00%,0.00%,0.00%, 999.00 , 1.37 , 1.00 
 CPU/Processor ,? ????? ?????? ?????? ???????? ??????? ?? ????????,0.00%,0.00%,16.00%,10.00%,10.00%,0.00%,0.00%, 999.00 , 999.00 , 3.00 
 Dental Care , ??????? ???????? ,11.50%,0.00%,16.00%,9.00%,10.00%,0.00%,0.00%, 999.00 , 999.00 , 1.00 
" Drilling, threading or tapping tools ",? ????? ???? ??????,15.00%,0.00%,16.00%,9.00%,10.00%,0.00%,0.00%, 999.00 , 999.00 , 1.00 
 Electric Applieances , ??????? ?????????? ,35.00%,7.00%,16.00%,8.00%,9.00%,0.00%,0.00%, 999.00 , 999.00 , 1.00 
 Electric Scooter , ???????????? ,0.00%,7.00%,16.00%,10.00%,10.00%,0.00%,0.00%, 999.00 , 999.00 , 1.00 
 Electronic calculators ,? ???? ????? ???????????? ???????? ??? ????? ??????? ???? ????? ?????? ??????????,0.00%,0.00%,16.00%,10.00%,10.00%,0.00%,0.00%, 999.00 , 999.00 , 1.00 
" Exercise equipment for general physical exercise, gymnastics or athletics ",????? ?????? ??????? ??????? ???????? ?????? ?????,35.00%,0.00%,16.00%,8.00%,9.00%,0.00%,0.00%, 999.00 , 999.00 , 1.00 
 FAN , ????? ,35.00%,0.00%,16.00%,8.00%,9.00%,0.00%,0.00%, 999.00 , 999.00 , 1.00 
" Fats and oils and their fractions, of fish, other than liver oils ","? ???? ????? ????????? ? ?? ????? ??? ??? ?????",0.00%,0.00%,16.00%,10.00%,10.00%,0.00%,0.00%, 999.00 , 999.00 , 1.00 
 Fertilizers , ????? ,15.00%,0.00%,16.00%,9.00%,10.00%,0.00%,0.00%, 999.00 , 999.00 , 1.00 
 Flash Drive/ SD Card , ???? ???? / ????? ???????  ,0.00%,0.00%,16.00%,10.00%,10.00%,0.00%,0.00%, 999.00 , 999.00 , 1.00 
 Food/Chocolate/Candy , ?????? / ?????????? / ????? ,25.00%,0.00%,16.00%,9.00%,10.00%,0.00%,0.00%, 999.00 , 999.00 , 1.00 
 Food/Chocolate/Candy US Made , ?????? / ?????????? / ????? ???????? ??????? ??? ,0.00%,0.00%,16.00%,10.00%,10.00%,0.00%,0.00%, 999.00 , 999.00 , 1.00 
 Game Pad , ???? ????? ,35.00%,0.00%,16.00%,8.00%,9.00%,0.00%,0.00%, 999.00 , 999.00 , 1.00 
 Game PC or Console , ???? / ??? ???? ?????? ????? PC  ,35.00%,0.00%,16.00%,8.00%,9.00%,0.00%,0.00%, 999.00 , 999.00 , 1.00 
 Glass Wear , ??? ?????? ,25.00%,0.00%,16.00%,9.00%,10.00%,0.00%,0.00%, 999.00 , 999.00 , 1.00 
 Gloves (fabric) , ?????? ?? ???? ,25.00%,0.00%,16.00%,9.00%,10.00%,0.00%,0.00%, 999.00 , 999.00 , 1.00 
 Graphics Card ,? ????? ?????? ?????? ???????? ??????? ?? ????????,0.00%,0.00%,16.00%,10.00%,10.00%,0.00%,0.00%, 999.00 , 999.00 , 1.00 
 Hair Preparations (Shampoo etc) ,???????? ??????? ?????? .,11.50%,0.00%,16.00%,12.00%,12.00%,0.00%,0.00%, 999.00 , 999.00 , 1.00 
 Hair-removing appliances ,? ????? ????? ?????,35.00%,0.00%,16.00%,8.00%,9.00%,0.00%,0.00%, 999.00 , 999.00 , 1.00 
 HardDrives External , ????? ???? ?????? ,0.00%,0.00%,16.00%,10.00%,10.00%,0.00%,0.00%, 999.00 , 999.00 , 1.00 
 HardDrives Internal , ????? ???? ?????? ,0.00%,0.00%,16.00%,10.00%,10.00%,0.00%,0.00%, 999.00 , 999.00 , 1.00 
 Hats , ????? ,35.00%,0.00%,16.00%,8.00%,9.00%,0.00%,0.00%, 999.00 , 999.00 , 1.00 
" Headphones & earphones, w or w/o microphone ","?????????? ??? ??????????? ??? ?????????? ? ??? ??????? ????? ?????? ?????",25.00%,7.00%,16.00%,9.00%,10.00%,0.00%,0.00%, 999.00 , 999.00 , 1.00 
 Headset , ????? ??? ,35.00%,7.00%,16.00%,8.00%,9.00%,0.00%,0.00%, 999.00 , 999.00 , 1.00 
 Health and Personal Care , ?????? ??? ,11.50%,0.00%,16.00%,16.00%,16.00%,5.00%,0.00%, 999.00 , 999.00 , 1.00 
 Health and Personal Care (Liquids) , ?????? ??? - ???? ,11.50%,0.00%,16.00%,16.00%,16.00%,5.00%,0.00%, 999.00 , 999.00 , 1.00 
 Helmet Motor Cycle , ???? ????? ?????  ,35.00%,0.00%,16.00%,8.00%,9.00%,0.00%,0.00%, 999.00 , 999.00 , 1.00 
 Helmet Sports Leisure , ???? ??????? ??????  ,35.00%,0.00%,16.00%,8.00%,9.00%,0.00%,0.00%, 999.00 , 999.00 , 1.00 
 Jewelry - Not Real , ??????? ??????? ,35.00%,0.00%,16.00%,8.00%,9.00%,0.00%,0.00%, 999.00 , 999.00 , 1.00 
 Joystick , ??? ??????  ,35.00%,0.00%,16.00%,8.00%,9.00%,0.00%,0.00%, 999.00 , 999.00 , 3.00 
 Keyboard/Mouse , ???? ???????? / ??????  ,0.00%,0.00%,16.00%,10.00%,10.00%,0.00%,0.00%, 999.00 , 999.00 , 4.00 
 kitchenware and Tableware ,  ????? ????? ?????  ,11.50%,0.00%,16.00%,9.00%,10.00%,0.00%,0.00%, 999.00 , 999.00 , 1.00 
 Knee pads ,?????? ?????,15.00%,0.00%,16.00%,9.00%,10.00%,0.00%,0.00%, 999.00 , 999.00 , 1.00 
 leather clothes , ????? ?????  ,35.00%,7.00%,16.00%,8.00%,9.00%,8.00%,0.00%, 999.00 , 1.37 , 1.00 
 Lighting or visual signalling equipment ,? ????? ????? ?? ????? ????? ,35.00%,0.00%,16.00%,8.00%,9.00%,0.00%,0.00%, 999.00 , 999.00 , 1.00 
" Machine-tools for working stone, ceramics, concrete, asbestos-cement , glass ",??? ???? ???? ????? ?? ????? ?? ???????? ?? ???? ?????? ??????? (?????????) ???????? ?? ???? ?????? ???????? ???????? ?? ???? ?????? ??? ??????,0.00%,0.00%,16.00%,10.00%,10.00%,0.00%,0.00%, 999.00 , 999.00 , 1.00 
 Magazines , ?????  ,0.00%,0.00%,16.00%,10.00%,10.00%,0.00%,0.00%, 999.00 , 999.00 , 1.00 
 Medical Apparatus 9022 , ????? ????  ,0.00%,0.00%,16.00%,10.00%,10.00%,0.00%,0.00%, 999.00 , 999.00 , 1.00 
 Memory , ?????  ,0.00%,0.00%,16.00%,10.00%,10.00%,0.00%,0.00%, 999.00 , 999.00 , 1.00 
 microphone and one or more loudspeakers ,"???? ????? ?? ????? ??? "" ??????? "" ????? ?? ???? ?? ?????? ????? ",35.00%,7.00%,16.00%,8.00%,9.00%,0.00%,0.00%, 999.00 , 999.00 , 5.00 
 Microscope , ????  ,15.00%,0.00%,16.00%,9.00%,10.00%,0.00%,0.00%, 999.00 , 999.00 , 1.00 
 Mobile Accessory , ?????? ?????? ??????  ,35.00%,0.00%,16.00%,8.00%,9.00%,0.00%,0.00%, 999.00 , 999.00 , 1.00 
 Mobile Phone , ?????? ???????  ,0.00%,7.00%,16.00%,10.00%,10.00%,0.00%,0.00%, 999.00 , 999.00 , 1.00 
 Monitor  , ???? ???????  ,0.00%,0.00%,16.00%,10.00%,10.00%,0.00%,0.00%, 999.00 , 999.00 , 7.00 
 Motherboard ,? ????? ?????? ?????? ???????? ??????? ?? ????????,0.00%,0.00%,16.00%,10.00%,10.00%,0.00%,0.00%, 999.00 , 999.00 , 3.00 
 Mouse Pad , ???? ???  ,35.00%,0.00%,16.00%,8.00%,9.00%,0.00%,0.00%, 999.00 , 999.00 , 1.00 
 Mouse/Keyboard , ?????? / ???? ????????  ,0.00%,0.00%,16.00%,10.00%,10.00%,0.00%,0.00%, 999.00 , 999.00 , 3.00 
 Musical Instruments , ????? ????????  ,35.00%,0.00%,16.00%,8.00%,9.00%,5.00%,0.00%, 999.00 , 999.00 , 1.00 
 Neck Tie , ????? ??? ,35.00%,0.00%,16.00%,8.00%,9.00%,0.00%,0.00%, 999.00 , 999.00 , 1.00 
 Network Router/Adapter ,????? ????????? ?? ???? ????? ?? ??????? ,0.00%,0.00%,16.00%,10.00%,10.00%,0.00%,0.00%, 999.00 , 999.00 , 1.00 
 Notebook , ?????? ,0.00%,7.00%,16.00%,10.00%,10.00%,0.00%,8.50%, 999.00 , 999.00 , 4.00 
 Office Equipment  ,  ????? ????    ,35.00%,0.00%,16.00%,8.00%,9.00%,0.00%,0.00%, 999.00 , 999.00 , 1.00 
 Office or school supplies , ??????? ,11.50%,0.00%,16.00%,9.00%,10.00%,0.00%,0.00%, 999.00 , 999.00 , 1.00 
 Pasta (Other - not stuffed) , ??????? ??? ????? ,0.00%,0.00%,16.00%,10.00%,10.00%,0.00%,0.00%, 999.00 , 999.00 , 1.00 
" Pasta (Stuffed), whether or not cooked or otherwise prepared ", ??????? ????? ,35.00%,0.00%,16.00%,8.00%,9.00%,0.00%,0.00%, 999.00 , 999.00 , 1.00 
 PCs , ????? ?????????  ,0.00%,0.00%,16.00%,10.00%,10.00%,0.00%,0.00%, 999.00 , 999.00 , 1.00 
 Perfume , ??? ,11.50%,7.00%,16.00%,16.00%,12.00%,5.00%,0.00%, 999.00 , 999.00 , 1.00 
 Perfume - US Made , ??? ,0.00%,7.00%,16.00%,10.00%,10.00%,5.00%,0.00%, 999.00 , 999.00 , 1.00 
 Playstation , ???? ?????  ,35.00%,7.00%,16.00%,8.00%,9.00%,0.00%,0.00%, 999.00 , 999.00 , 1.00 
" Polyacetals, other polyethers and epoxide resins, in primary forms; polycarbonates, alkyd resins ","???? ???????? ????? ?????? ??? ???????? ?????????? ? ???????? ??????? ? ???? ???????",0.00%,0.00%,16.00%,10.00%,10.00%,0.00%,0.00%, 999.00 , 999.00 , 1.00 
 Power Suppy , ???? ?????? ,0.00%,0.00%,16.00%,10.00%,10.00%,0.00%,0.00%, 999.00 , 999.00 , 1.00 
 Printer , ????? ,0.00%,0.00%,16.00%,10.00%,10.00%,0.00%,0.00%, 999.00 , 999.00 , 1.00 
 Projectors , ???? ???? ,35.00%,0.00%,16.00%,8.00%,9.00%,0.00%,0.00%, 999.00 , 999.00 , 1.00 
" Protein concentrates and textured protein substances, other ",?????? ?????? ????? ???????? ,15.00%,0.00%,16.00%,9.00%,10.00%,0.00%,0.00%, 999.00 , 999.00 , 1.00 
 Rangefinders ,? ?????? ???????,15.00%,0.00%,16.00%,9.00%,10.00%,0.00%,0.00%, 999.00 , 999.00 , 1.00 
 Real Jewelry , ??????? ??? ???? ?????? ,0.00%,0.00%,16.00%,10.00%,10.00%,0.00%,0.00%, 999.00 , 999.00 , 1.00 
 Scanner , ???? ???? ,0.00%,0.00%,16.00%,10.00%,10.00%,0.00%,0.00%, 999.00 , 999.00 , 1.00 
 Seeds (for planting) , ???? ??????? ,15.00%,0.00%,16.00%,9.00%,10.00%,0.00%,0.00%, 999.00 , 999.00 , 1.00 
 Shampoos , ????? ,11.50%,0.00%,16.00%,9.00%,10.00%,0.00%,0.00%, 999.00 , 999.00 , 1.00 
 Shoes , ?????  ,35.00%,0.00%,16.00%,8.00%,9.00%,0.00%,0.00%, 999.00 , 1.37 , 1.00 
 Software , ??????? ,0.00%,0.00%,16.00%,10.00%,10.00%,0.00%,0.00%, 999.00 , 999.00 , 1.00 
 Sound recording or reproducing apparatus .  ,????? ????? ?? ????? ?????,35.00%,0.00%,16.00%,8.00%,9.00%,0.00%,0.00%, 999.00 , 999.00 , 1.00 
 Spare Parts , ??? ???? ,35.00%,7.00%,16.00%,8.00%,9.00%,0.00%,0.00%, 999.00 , 999.00 , 1.00 
 Speaker , ?????? ,35.00%,7.00%,16.00%,8.00%,9.00%,0.00%,0.00%, 999.00 , 999.00 , 5.00 
 Sporting Goods  , ????? ????????  ,35.00%,0.00%,16.00%,8.00%,9.00%,0.00%,0.00%, 999.00 , 999.00 , 1.00 
 Sunglasses ,? ?????? ?????,35.00%,7.00%,16.00%,8.00%,9.00%,0.00%,0.00%, 999.00 , 999.00 , 1.00 
 Tablet , ??? ???? ,0.00%,7.00%,16.00%,10.00%,10.00%,0.00%,0.00%, 999.00 , 999.00 , 1.00 
 Tools , ??? ?????? ,15.00%,0.00%,16.00%,9.00%,10.00%,0.00%,0.00%, 999.00 , 999.00 , 1.00 
 ToothBrush , ????? ???????  ,11.50%,0.00%,16.00%,9.00%,10.00%,0.00%,0.00%, 999.00 , 999.00 , 1.00 
 Toys , ????? ,35.00%,0.00%,16.00%,8.00%,9.00%,0.00%,0.00%, 999.00 , 999.00 , 1.00 
" Trays, dishes, plates, cups and the like ",? ????? ?????? ?????? ??? ???????,25.00%,0.00%,16.00%,9.00%,10.00%,0.00%,0.00%, 999.00 , 999.00 , 1.00 
" T-shirts, singlets and other vests, knitted or crocheted. ","????? ?? ??? ""?? ????"" ?????? ????? ?????? ?? ?????? ??? ??????? ? ?? ?????? ?? ??????",25.00%,0.00%,16.00%,9.00%,10.00%,0.00%,0.00%, 999.00 , 999.00 , 1.00 
 TV  , ???? ?????  ,25.00%,7.00%,16.00%,9.00%,10.00%,0.00%,0.00%, 999.00 , 999.00 , 1.00 
 US Made Cosmetics , ?????? ????????? ?????|????? ????? ,0.00%,7.00%,16.00%,16.00%,16.00%,5.00%,0.00%, 999.00 , 999.00 , 1.00 
 US Made Products , ?????? ?????????  ,0.00%,7.00%,16.00%,10.00%,10.00%,0.00%,0.00%, 999.00 , 999.00 , 1.00 
 Vitamins , ??????? ,15.00%,0.00%,16.00%,9.00%,10.00%,0.00%,0.00%, 999.00 , 999.00 , 1.00 
 Watch (Mechanical display only) , ???? ??? ????????? ,15.00%,7.00%,16.00%,9.00%,10.00%,0.00%,0.00%, 999.00 , 999.00 , 1.00 
 Watch/Sports watches/wearable gear , ???? / ????? ??????? / ???? ???????? ??????? ,35.00%,7.00%,16.00%,8.00%,9.00%,0.00%,0.00%, 999.00 , 999.00 , 1.00 
,,,,,,,,, 999.00 , 999.00 , 1.00 
,,,,,,,,, 999.00 , 999.00 , 1.00 
,,,,,,,,, 999.00 , 999.00 , 1.00 
,,,,,,,,, 999.00 , 999.00 , 1.00 
,,,,,,,,, 999.00 , 999.00 , 1.00 
,,,,,,,,, 999.00 , 999.00 , 1.00 
,,,,,,,,, 999.00 , 999.00 , 1.00 
,,,,,,,,, 999.00 , 999.00 , 1.00 
,,,,,,,,, 999.00 , 999.00 , 1.00 
,,,,,,,,, 999.00 , 999.00 , 1.00 
,,,,,,,,, 999.00 , 999.00 , 1.00 
,,,,,,,,, 999.00 , 999.00 , 1.00 
,,,,,,,,, 999.00 , 999.00 , 1.00 
,,,,,,,,, 999.00 , 999.00 , 1.00 
